"kids","educ","age","agesq","tv","electric","urban","evermarr","fhalf"
0,1,2.4,0.576,1,1,1,0,1
1,1,3.2,1.024,1,1,1,1,1
1,0,3,0.9,0,1,1,1,0
1,0,4.2,1.764,1,1,1,1,0
1,1,4.3,1.849,1,1,1,1,1
1,0,3.6,1.296,0,1,1,1,0
1,1,3.7,1.369,1,1,1,1,0
0,1,1.8,0.324,1,1,1,0,0
1,0,3.4,1.156,0,0,1,1,0
0,0,4.9,2.401,0,1,1,1,0
1,1,4.2,1.764,1,1,1,1,1
1,0,2.9,0.841,0,1,1,1,0
1,0,4.5,2.025,0,1,1,1,0
1,0,4.8,2.304,0,1,1,1,1
1,1,3.5,1.225,1,1,1,1,1
0,0,2.6,0.676,0,1,1,0,1
1,0,3.8,1.444,0,1,1,0,1
1,0,4.7,2.209,0,1,1,0,0
0,1,3.2,1.024,1,1,1,1,1
1,1,2.7,0.729,1,1,1,1,0
0,1,2.3,0.529,1,1,1,1,0
1,1,3.9,1.521,1,1,1,1,1
1,1,3.8,1.444,1,1,1,1,1
1,0,3.9,1.521,0,1,1,1,0
1,1,2.1,0.441,0,1,1,0,0
1,1,4.3,1.849,1,1,1,1,1
1,1,4.1,1.681,1,1,1,1,1
1,0,4.6,2.116,1,1,1,0,0
1,1,2.5,0.625,0,0,1,0,0
1,0,4.6,2.116,0,1,1,0,1
1,1,4.9,2.401,1,1,1,1,0
1,0,4.3,1.849,0,0,1,0,1
1,0,3.9,1.521,0,0,1,0,0
1,0,3.9,1.521,0,0,1,0,0
1,0,2.5,0.625,0,0,1,1,0
1,0,2.2,0.484,0,0,1,0,1
1,0,3.5,1.225,0,0,1,0,1
1,1,4,1.6,1,1,1,1,1
1,0,4,1.6,0,1,1,1,0
1,0,2.9,0.841,0,0,1,0,1
1,1,3.3,1.089,0,1,1,1,0
1,0,2.6,0.676,0,0,1,0,1
1,1,4.1,1.681,1,1,1,1,1
1,0,2.1,0.441,0,1,1,0,1
0,1,1.9,0.361,0,1,1,0,1
1,0,2.8,0.784,0,1,1,0,1
1,1,2.5,0.625,1,1,1,1,1
1,1,4.8,2.304,1,1,1,1,0
1,1,3.2,1.024,1,1,1,1,0
1,1,2.7,0.729,1,1,1,1,0
1,0,3.7,1.369,0,0,1,0,0
0,1,2.4,0.576,0,0,1,0,0
1,1,4,1.6,1,1,1,1,1
1,1,4.9,2.401,1,1,1,1,1
1,1,3.8,1.444,1,1,1,1,1
1,1,3.2,1.024,1,1,1,1,0
0,0,2.2,0.484,1,1,1,0,1
1,0,2.4,0.576,1,1,1,0,1
1,1,4.1,1.681,1,1,1,1,0
0,0,3,0.9,0,0,1,1,0
1,0,4.6,2.116,0,1,1,0,0
1,1,3.6,1.296,1,1,1,1,1
